,Name,Radius,Mass,Distance
0,SDSS J000013.54+255418.6 [de],0.99,48,46.1
1,2MASS J08283419-1309198,,,
2,2MASS J00040288-6410358,1.63,19,192
3,LHS 102BC,,,
4,2MASS J00242463-0158201,1.09,79,37.7
5,2MASS J00250365+4759191AB,,,143
6,2MASS J00274197+0503417,1.44,31,236
7,2MASS J00275592+2219328,,,46.9
8,2MASSW J0030300-145033,0.98,54,87.2
9,2MASS J00332386-1521309 [de],1.43,29,131
10,2MASS J00345157+0523050,0.94,42,31
11,2MASS 0036+1821,0.94,42,28.6
12,2MASSW J0045214+163445,1.62,23,57
13,WISEP J004701.06+680352.1 [fr],1.3,12,40
14,2MASS J00501994-3322402 [de],0.94,40,34
15,2MASS J00034227-2822410,,,
16,2MASS J00584253-0651239 [de],1.43,29,96
17,CFBDS J005910.90–011401.3,,23,30
18,2MASSI J0103320+193536,0.98,52,70
19,SDSSp J010752.33+004156.1 [de],0.98,52,51
20,2MASSI J0117474-340325 [de],1.62,20,163
21,2MASS J01415823-4633574 [de],1.61,20,130
22,SDSS J015141.69+124429.6,0.97,47,70
23,DENIS-P J020529.0−115925A,,,65
24,DENIS-P J020529.0−115925B,,,65
25,DENIS-P J020529.0−115925C,,,65
26,SDSS J020742.48+000056.2 [de],0.97,47,111
27,2MASS J02103857-3015313,1.53,15,101
28,2MASS J02340093-6442068,1.62,20,155
29,2MASS J02411151-0326587 [de],1.41,27,152
30,2MASS J02431371−2453298,0.99,33,35
31,LP 771-21,1.08,78,53
32,2MASS J02511327+0047364,,,
33,Teegarden's star,1.27,80,12.578
34,2MASS J02535980+3206373,1.9,65,184
35,WISE J0254+0223,1.9,65,24
36,DEN 0255-4700,0.97,80,16.2
37,2MASS J03185403-3421292 [de],0.97,49,45
38,2MASS J03205965+1854233,1.15,88,47
39,2MASS J03231002-4631237,1.66,23,192
40,SDSS J032553.17+042540.1,0.95,45,59
41,2MASS J03264225-2102057 [de],1.3,18,80
42,2MASS J03284265+2302051 [de],0.98,54,98
43,2MASS J03341218-4953322,1.04,73,27.0
44,LP 944-20,1.43,73,20.9
45,2MASP J0345432+254023,1.05,74,88
46,Teide 1,3.78,55,380
47,2MASS J03510004-0052452,1.27,102,48
48,2MASS J03552337+1133437,1.32,20,29.8
49,DENIS-P J035726.9-441730 [de],,,130
50,2MASS J04151954−0935066,0.95,30,18.6
51,SDSSp J042348.57-041403.5 [de],,,50
52,2MASS J04285096-2253227 [de],1.09,80,85
53,2MASS J04351612-1606574,1.26,100,34
54,2MASS J04362788-4114465,1.97,39,142
55,2MASS J04390101-2353083 [de],0.97,48,29.5
56,2MASS J04414489+2301513,,19,470
57,2MASS J04433764+0002040,1.78,22,82
58,2MASS J04455387-3048204 [de],1.00,64,42
59,2MASS J04510093-3402150 [de],1.04,72,69
60,2MASS J05002100+0330501 [de],1.00,64,44
61,2MASS J05012406-0010452 [de],1.38,21,64
62,2MASS J05160945-0445499 [de],0.97,47,73
63,2MASS J0523−1403,1.01,68,40
64,2MASS 0532+8246,,83,81
65,SDSS J053951.99-005902.0,1.01,61,41.62
66,2MASS J05591914-1404488 [de],,,34
67,LSR 0602+3910 [de],1.41,28,34.6
68,2MASS J06085283-2753583,1.51,38,102
69,WISEP J061135.13-041024.0A,,65,69
70,WISEP J061135.13-041024.0B,,53,69
71,2MASS J06244595-4521548 [de],0.99,56,39
72,2MASS J06411840-4322329 [de],1.01,67,65
73,DENIS-P J0652197-253450 [de],1.05,75,51
74,2MASS J07003664+3157266 [de],,,40
75,2MASS J07075327-4900503,1.03,72,60
76,UGPS J072227.51-054031.2,0.98,26,13.4
77,2MASSI J0727182+171001 [de],0.94,41,29.6
78,2MASS J07290002-3954043 [de],0.94,37,25.8
79,SDSS J074201.41+205520.5 [de],0.94,43,49
80,2MASS J0746425+200032 [fr],,,49.6
81,DENIS-P J0751164-253043 [de],1.03,71,55
82,2MASS J07522390+1612157,2.01,68,60
83,DENIS J081730.0-615520,0.94,44,16.1
84,DENIS J082303.1−491201A,,44,67
85,DENIS J082303.1−491201B,,28,67
86,2MASS J08251968+2115521 [de],0.98,52,35
87,SDSSp J083008.12+482847.4 [de],0.99,48,43
88,LHS 2021,1.15,88,55
89,SDSS J083048.80+012831.1 [de],0.96,46,77
90,2MASSI J0835425-081923 [de],1.00,62,23.53
91,2MASSI J0847287-153237 [de],1.00,64,43
92,2MASS J08533619-0329321,1.07,77,27.6
93,2MASSI J0859254-194926 [de],0.98,50,50
94,2MASSW J0920122+351742 [de],,,95
95,2MASSI J0937347+293142,0.94,42,20.0
96,2MASS 0939−2448,0.95,32,17.4
97,2MASS J09490860-1545485 [de],0.96,49,59
98,2MASS J10073369-4555147,0.94,44,46
99,2MASSI J1010148-040649 [de],0.98,51,55
100,2MASSI J1017075+130839 [de],,,108
101,SDSS J102109.69-030420.1,,,95
102,2MASS J10224821+5825453 [de],1.41,27,60
103,2MASSW J1036530-344138 [de],0.97,49,53
104,2MASS J1047538+212423 [de],0.94,42,34.4
105,DEN 1048-3956,1.07,77,13.15
106,Luhman 16B,1.02,43,6.516
107,Luhman 16A,1.01,40,6.516
108,DENIS-P J1058.7−1548,1.00,64,49
109,TWA 28,2.39,36,180
110,Cha 110913-773444,1.8,8,163
111,OTS 44,,15,554
112,SDSS J111010.01+011613.1,1.24,9,63
113,2MASS J11145133−2618235,0.96,33,18.2
114,TWA 26,2.20,30,137
115,2MASSW J1146345+223053,,,89
116,2MASS J11544223-3400390 [de],1.50,37,129
117,2MASSW J1155395-372735 [de],1.00,64,31
118,TWA 27A,,,
119,TWA 27B,,,
120,2MASS J12074836-3900043,1.71,17,217
121,2MASSI J1217110-031113 [de],0.94,42,36
122,2MASS J12255432-2739466,,,43
123,DENIS-P J1228.2-1547,,,66
124,2M 1237+6526,0.94,41,45.6
125,2MASSW J1239272+551537 [de],,,119
126,TWA 29,2.00,25,262
127,SDSSp J125453.90-012247.4 [de],0.98,47,38
128,Kelu-1A,0.98,63,61
129,Kelu-1B,0.98,58,61
130,2MASS J13204427+0409045,1.01,67,101
131,SDSSp J132629.82-003831.5 [de],0.97,51,65
132,SDSSp J134646.45-003150.4 [de],0.94,44,48
133,2MASS J13595510-4034582,1.00,63,51
134,ULAS J141623.94+134836.3,0.96,32,29.7
135,SDSS J141659.78+500626.4 [de],0.99,59,149
136,DENIS-P J142527.97-365023.4 [de],1.32,21,38
137,LHS 2924,1.06,76,38.5
138,2MASS J14392837+1929150,1.03,72,47
139,LSPM J1440+1339,1.19,92,72
140,2MASS J14482563+1031590 [de],0.99,59,47
141,CFBDSIR 1458+10A,1.5,11.1,104
142,CFBDSIR 1458+10B,1.3,9,104
143,TVLM 513-46546,1.05,75,35.1
144,2MASS 1503+2525,0.94,44,20.7
145,CFBDS J150411+102717,0.94,44,71
146,2MASSW J1506544+132106 [de],1.02,69,46
147,2MASS 1507−1627,0.99,60,23.9
148,TVLM 868-110639,1.08,79,53
149,SDSS J151114.66+060742.9 [de],,,89
150,2MASSW J1515008+484742 [de],0.99,57,34
151,2MASSI J1526140+204341 [de],0.98,54,67
152,DENIS-P J153941.96-052042.4 [de],1.00,63,51
153,2MASS J15462718-3325111 [de],0.94,44,37
154,2MASSW J1552591+294849 [de],1.43,30,68
155,2MASSW J1555157-095605 [de],1.03,71,44
156,2MASS J16150413+1340079 [de],0.94,42,48
157,SDSSp J162414.37+002915.6 [de],0.94,43,36
158,2MASS J16262034+3925190 [de],1.03,71,110
159,2MASSW J1632291+190441 [de],0.97,49,50
160,WISEPA J164715.59+563208.2,0.94,41,28
161,LSPM J1658+7027 [de],1.04,73,60
162,2MASSI J1726000+153819,1.40,24,114
163,2MASSW J1728114+394859,,,79
164,SDSSp J175032.96+175903.9,0.97,47,90
165,2MASS J18283572-4849046,0.95,45,39
166,LSR J1835+3259,1.07,77,18.5
167,2MASSW J1841086+311727,1.01,67,138
168,2MASS J18432213+4040209,1.22,96,46
169,2MASS J20004841-7523070,1.88,25,105
170,SDSS J204749.61-071818.3,0.96,46,65
171,2MASSI J2057540-025230,1.02,70,47
172,2MASSW J2101154+175658,,,108
173,2MASSI J2104149-103736,1.02,69,62
174,PSO J318.5−22,1.53,6.5,80
175,HB 2124-4228,1.21,94,113
176,2MASS J21392676+0220226,0.96,46,32.1
177,2MASS J21481628+4003593,0.99,55,26.3
178,2MASS J14112131-2119503,,,
179,2MASSW J2206450-421721,1.33,22,93
180,2MASSW J2208136+292121,1.41,27,154
181,2MASSW J2224438-015852,0.99,61,38
182,2MASS J22282889-4310262,0.94,42,35
183,2MASS J22373255+3922398,1.04,73,64
184,2MASSW J2244316+204343,1.29,12,56
185,2MASS J23224684-3133231,1.39,24,56
186,2MASS J23225299-6151275,1.59,17,148
187,2MASS J23515044-2537367,1.16,88,67
188,2MASSI J2356547-155310,1.09,80,74
189,WISE 0005+3737,,,23.2
190,WISE 0008-1739,,,87.1
191,WISE 0015-4615,,,48.6
192,WISE 0031-3840,,,71.8
193,WISE 0032-4946,,,62.9
194,WISE 0038+2758,,,36.9
195,WISE 0038+8405,,,101.8
196,WISE 0040+0900,,,47.6
197,WISE 0049+0441,,,62.6
198,WISE 0049+2151,,,24.1
199,WISE 0106+1518,,,142.9
200,WISE 0123+4142,,,67.2
201,WISE 0135+1715,,,77.3
202,WISE 0138-0322,,,57.7
203,WISE 0146+4234,,,20.5
204,WISE 0148-7202,,,30
205,WISE 0150+3827,,,61.3
206,WISE 0206+2640,,,58.4
207,WISE 0221+3842,,,73.1
208,WISE 0223-2932,,,47
209,WISE 0226-0211,,,91
210,WISE 0241-3653,,,53.8
211,WISE 0245-3450,,,56.1
212,WISE 0247+3725,,,57.1
213,WISE 0305+3954,,,75
214,WISE 0307+2904,,,82.8
215,WISE 0313+7807,,,28
216,WISE 0316+4307,,,106.3
217,WISE 0321-7347,,,84.8
218,WISE 0323-6025,,,45.3
219,WISE 0325-3854,,,51.2
220,WISE 0325+0831,,,36.5
221,WISE 0333-5856,,,54.8
222,WISE 0335+4310,,,45.7
223,WISE 0336-0143,,,55.4
224,WISE 0350-5658,,,17.7
225,WISE 0359-5401,,,19.2
226,WISE 0410+1502,1.17,6,20
227,WISE 0410+1411,,,85.8
228,WISE 0413-4750,,,66.2
229,WISE 0448-1935,,,69.8
230,WISE 0458+6434A,4.2,15,35.9
231,WISE 0458+6434B,3.8,10,35.9
232,WISE 0500-1223,,,47
233,WISE 0513+0608,,,44.7
234,WISE 0525+6739,,,98.2
235,WISE 0528-3308,,,57.4
236,WISE 0535-7500,,,47
237,WISE 0539-1034,,,84.8
238,WISE 0542-1628,,,50.6
239,WISE 0607+2429,,,25.4
240,WISE 0611-0410,,,57.7
241,WISE 0612-4920,,,95.2
242,WISE 0612-3036,,,64.9
243,WISE 0614+3912,,,50.2
244,WISE 0614+0951,,,51.5
245,WISE 0623-0456,,,37.5
246,WISE 0625+5646,,,67.2
247,WISE 0627-1114,,,37.2
248,WISE 0647-6232,,,28
249,WISE 0656+4205,,,54.1
250,WISE 0713-2917,,,23.2
251,WISE 0723+3403,,,45.7
252,WISE 0733+7544,,,78.3
253,WISE 0734-7157,,,34.9
254,WISE 0744+5628,,,47.3
255,WISE 0750+2725,,,51.5
256,WISE 0751-7634,,,39.1
257,WISE 0759-4904,,,38.8
258,WISE 0811-8051,,,32
259,WISE 0812+4021,,,63.6
260,WISE 0819-0335,,,46
261,WISE 0821+1443,,,68.2
262,WISE 0836-1859,,,72.4
263,WISE 0857+5604,,,42.1
264,WISE 0906+4735,,,51.5
265,WISE 0929+0409,,,64.9
266,WISE 0952+1955,,,72.1
267,WISE 1018-2445,,,47.6
268,WISE 1019+6529,,,56.8
269,WISE 1039-1600,,,47.3
270,WISE 1042-3842,,,53.2
271,WISE 1051-2138,,,40.8
272,WISE 1122+2550,,,57.7
273,WISE 1124-0421,,,50.6
274,WISE 1147-2040,,,102
275,WISE 1150+6302,,,32.9
276,WISE 1217+1626A,,12,34.2
277,WISE 1217+1626B,,6,34.2
278,WISE 1225-1013,,,55.4
279,WISE 1311+0122,,,44.4
280,WISE 1311+3629,,,86.1
281,WISE 1318-1758,,,32.9
282,WISE 1320+6034,,,56.1
283,WISE 1322-2340,,,33.9
284,WISE 1348+6603,,,91
285,WISE 1405+5534,0.86,30,25.3
286,WISE 1433-0837,,,84.8
287,WISE 1436-1814,,,60
288,WISE 1457+5815,,,52.2
289,WISE 1506+7027,,,11.1
290,WISE 1517+0529,,,72.4
291,WISE 1519+7009,,,50.9
292,WISE 1523+3125,,,84.5
293,WISE 1541-2250,,,20
294,WISE 1542+2230,,,41.1
295,WISE 1612-3420,,,55.4
296,WISE 1614+1739,,,32.6
297,WISE 1617+1807,,,50.2
298,WISE 1622-0959,,,52.2
299,WISE 1627+3255,,,50.2
300,WISE 1639-6847,,,16.3
301,WISE 1647+5632,,,28
302,WISE 1653+4444,,,39.5
303,WISE 1711+3500,,,60.3
304,WISE 1717+6129,,,72.7
305,WISE 1721+1117,,,62.3
306,WISE 1728+5716,,,97.8
307,WISE 1738+2732,,,20
308,WISE 1741+2553,,,18.9
309,WISE 1746-0338,,,83.8
310,WISE 1800+0134,,57,28.7
311,WISE 1804+3117,,,30
312,WISE 1809+3838,,,74.4
313,WISE 1812+2721,,,47
314,WISE 1828+2650,,,36
315,WISE 1830+4542,,,107
316,WISE 1841+7000,,,131.1
317,WISE 1852+3537,,,55.4
318,WISE 1906+4508,,,51.5
319,WISE 1928+2356,,,22.8
320,WISE 1952+7240,,,44.4
321,WISE 1959-3338,,,37.2
322,WISE 2030+0749,,,34.2
323,WISE 2014+0424,,,96.2
324,WISE 2015+6646,,,50.6
325,WISE 2018-7423,,,47.9
326,WISE 2019-1148,,,42.4
327,WISE 2056+1459,,,24.5
328,WISE 2134-7137,,,42.7
329,WISE 2157+2659,,,61.6
330,WISE 2209-2734,,,46
331,WISE 2213+0911,,,58.7
332,WISE 2220-3628,,,26.4
333,WISE 2226+0440,,,45
334,WISE 2237-0614,,,53.5
335,WISE 2237+7228,,,46
336,WISE 2239+1617,,,59.7
337,WISE 2255-3118,,,44.7
338,WISE 2301+0216,,,60.7
339,WISE 2313-8037,,,35.9
340,WISE 2319-1844,,,52.2
341,WISE 2325-4105,,,37.5
342,WISE 2327-2730,,,70.8
343,WISE 2335+4222,,,90.3
344,WISE 2340-0745,,,37.8
345,WISE 2342+0856,,,51.2
346,WISE 2343-7418,,,48.6
347,WISE 2344+1034,,,46
348,WISE 2348-1028,,,54.1
349,WISE 2357+1227,,,54.8
350,WISE 2359-7335,,,42.7
351,WISEA 1101+5400,,,111
352,2M1510,,40 + 39 + ?,120
